%time,field.x,field.y,field.z
130600000000,-7.94028454312,-6.75779657049,0.0
130700000000,-7.89328693867,-6.81127955552,0.0
130800000000,-7.8451248136,-6.86096678562,0.0
130900000000,-7.79605347032,-6.90687561931,0.0
131000000000,-7.74784906697,-6.94774573637,0.0
131100000000,-7.69929257364,-6.98499495839,0.0
131200000000,-7.65061886224,-7.0186893796,0.0
131300000000,-7.60205536918,-7.04890920683,0.0
131400000000,-7.55556895074,-7.07477572856,0.0
131500000000,-7.50966753889,-7.09745459649,0.0
131600000000,-7.46454728774,-7.11706684297,0.0
131600000000,-7.42039382523,-7.13374484162,0.0
131800000000,-7.37738162388,-7.14763156336,0.0
131900000000,-7.33567341935,-7.15887979856,0.0
132000000000,-7.29541967851,-7.16765134824,0.0
132100000000,-7.25675811871,-7.17411618729,0.0
132200000000,-7.22179964955,-7.17821850548,0.0
132300000000,-7.18867790398,-7.18047242769,0.0
132400000000,-7.15748523377,-7.18106752039,0.0
132500000000,-7.1282998456,-7.18019772619,0.0
132600000000,-7.10118560537,-7.17806043428,0.0
132700000000,-7.07817565728,-7.17510991594,0.0
132800000000,-7.05730627526,-7.17138986502,0.0
132800000000,-7.03859299952,-7.16710153078,0.0
133000000000,-7.01818623207,-7.16136273937,0.0
133100000000,-6.99618759689,-7.15399909085,0.0
133100000000,-6.97271164448,-7.14484287365,0.0
133200000000,-6.94605986241,-7.13291702202,0.0
133400000000,-6.91823899023,-7.11879838606,0.0
133500000000,-6.88940388331,-7.10234643164,0.0
133600000000,-6.859720225,-7.08343072364,0.0
133700000000,-6.83262816593,-7.06424347447,0.0
133800000000,-6.80807946204,-7.04498995668,0.0
133900000000,-6.78601214175,-7.02586989392,0.0
134000000000,-6.76635094183,-7.007076617,0.0
134100000000,-6.75038432342,-6.99024716762,0.0
134200000000,-6.73656289204,-6.9741742737,0.0
134200000000,-6.72477149503,-6.9590237141,0.0
134400000000,-6.71488408596,-6.944951676,0.0
134500000000,-6.70676439373,-6.9321040954,0.0
134600000000,-6.70026662971,-6.92061604043,0.0
134700000000,-6.69523623024,-6.91061113961,0.0
134800000000,-6.6915106318,-6.90220105695,0.0
134900000000,-6.68963984013,-6.89735101133,0.0
135000000000,-6.68963984013,-6.89735101133,0.0
135100000000,-6.68963984013,-6.89735101133,0.0
135200000000,-6.68963984013,-6.89735101133,0.0
135300000000,-6.68963984013,-6.89735101133,0.0
135400000000,-6.68939288123,-6.89536631708,0.0
135500000000,-6.68909345682,-6.89137753969,0.0
135600000000,-6.68909345682,-6.89137753969,0.0
